ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
N5,12,2001,6181,1,0,Wednesday,Yes,Afternoon Classes,Springfield,MA,Urban,High,Classroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Escalation of a Dispute,No,No,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes
19,2,2004,636,1,1,Monday,Yes,Morning Classes,Washington,DC,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N23,7,2005,1777,1,0,Sunday,No,Not a School Day,Brownsville,TX,Urban,High,Field (General),Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N25,9,2005,2255,1,0,Friday,No,Sport Event,Germantown,MD,Urban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N27,9,2005,124,1,4,Friday,No,After School,New York City,NY,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Black,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
59,11,2008,2462,1,0,Wednesday,Yes,Morning Classes,Fort Lauderdale,FL,Urban,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N38,9,2009,62,1,0,Thursday,Yes,Lunch,Mesa,AZ,Urban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N43,4,2013,2781,1,0,Wednesday,No,After School,Reseda,CA,Urban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
87,8,2013,1357,1,0,Thursday,No,Night,Clarksville,TN,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
100,11,2014,1406,1,1,Thursday,No,After School,Miami,FL,Urban,High,Basketball Court,Outside on School Property,No evidence of,No evidence of,Unknown,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N54,4,2016,889,1,0,Thursday,Yes,Morning Classes,Wilmington,DE,Urban,High,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
109,6,2016,330,1,3,Wednesday,Yes,Afternoon Classes,Dorchester,MA,Urban,High,Other,Outside on School Property,Yes,No evidence of,Yes,Unknown,Escalation of a Dispute,No,Yes,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
137,9,2018,2824,1,0,Tuesday,No,After School,North Las Vegas,NV,Urban,High,Field (General),Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
