ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
18,1,2004,528,1,0,Wednesday,No,After School,Henderson,NV,Urban,Elementary,Classroom,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,Other,Killed,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,No evidence of
114,4,2017,545,2,1,Monday,Yes,Morning Classes,San Bernardino,CA,Urban,Elementary,Classroom,Inside School Building,Yes,Yes,Yes,No evidence of,Domestic,No,No evidence of,Yes,Yes,Black,Family Member,Suicide,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,Yes,Yes,Yes
92,3,2014,120,1,0,Wednesday,Yes,Afternoon Classes,Miami,FL,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
83,1,2013,29,1,0,Monday,Yes,Morning Classes,Fort Myers,FL,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
170,8,2020,335,1,0,Sunday,No,Night,Dallas,TX,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Drug Related,No,No evidence of,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
186,3,2021,467,1,1,Wednesday,No,Evening,Salem,OR,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Drug Related,Unknown,Unknown,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
134,8,2018,288,1,0,Wednesday,No,Evening,Dover,DE,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Black,Staff,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
20,2,2004,256,1,1,Wednesday,Yes,Morning Classes,Philadelphia,PA,Urban,Elementary,Playground,Outside on School Property,Yes,No evidence of,No evidence of,Yes,Accident/Negligence,Yes,Yes,Yes,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
95,5,2014,225,1,0,Wednesday,No,Evening,Milwaukee,WI,Urban,Elementary,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,Yes,No evidence of,Yes
104,6,2015,373,1,2,Saturday,No,Sport Event,Hartford,CT,Urban,Elementary,Gym,Inside School Building,No evidence of,No evidence of,Unknown,Unknown,Accident/Negligence,No,Unknown,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
140,11,2018,380,1,1,Sunday,No,Evening,Louisville,KY,Urban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,Unknown,No evidence of,Accident/Negligence,No,Unknown,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
236,10,2022,368,1,1,Friday,Yes,Afternoon Classes,Richmond,VA,Urban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Accident/Negligence,No,Unknown,No evidence of,No evidence of,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N32,10,2007,518,1,0,Wednesday,Yes,Morning Classes,Columbus,OH,Urban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Parent,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
146,5,2019,357,1,1,Wednesday,No,Evening,Columbus,OH,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
147,6,2019,518,2,0,Saturday,No,Night,Colorado Springs,CO,Urban,Elementary,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
203,10,2021,434,1,0,Thursday,No,Sport Event,Washington,DC,Urban,Elementary,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
262,7,2023,462,1,0,Wednesday,No,Evening,Washington,DC,Urban,Elementary,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
118,12,2017,830,2,0,Thursday,Yes,Morning Classes,Aztec,NM,Rural,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Other,No,No evidence of,No evidence of,Yes,White,Former Student,Suicide,No evidence of,Yes,Yes,Yes,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes,No evidence of
119,1,2018,1348,2,14,Tuesday,No,Before School,Benton,KY,Rural,High,Hallway,Inside School Building,Yes,No evidence of,Yes,No evidence of,Other,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
76,2,2012,1159,3,3,Monday,No,Before School,Chardon,OH,Rural,High,Cafeteria,Inside School Building,Yes,No evidence of,Yes,No evidence of,Unknown,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
49,12,2006,526,1,0,Friday,No,Evening,Trenton,NC,Rural,High,Basketball Court,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N63,8,2021,1360,1,0,Tuesday,Yes,Afternoon Classes,Aptos,CA,Rural,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Yes,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of
264,9,2023,419,1,1,Friday,No,Sport Event,Port Allen,LA,Rural,High,Football Field/Track,Outside on School Property,Yes,No evidence of,Unknown,Unknown,Unknown,No,Yes,No evidence of,Unknown,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
21,2,2004,10,1,0,Friday,Yes,Morning Classes,St. Martinville,LA,Rural,High,Front of School,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Unknown,Family Member,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
123,3,2018,1654,1,1,Tuesday,No,Before School,Great Mills,MD,Rural,High,Hallway,Inside School Building,Yes,No evidence of,Yes,No evidence of,Domestic,No,No evidence of,Yes,Yes,White,Student,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
159,12,2019,1059,1,0,Sunday,No,Night,Mountain Brook,AL,Rural,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,White,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,Yes,Yes,Yes,Yes
14,9,2003,858,2,0,Wednesday,Yes,Morning Classes,Cold Spring,MN,Rural,High,Gym,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
117,9,2017,317,1,3,Wednesday,Yes,Morning Classes,Rockford,WA,Rural,High,Hallway,Inside School Building,Yes,No evidence of,Yes,No evidence of,Retaliation,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,Yes
3,3,2001,1179,1,0,Friday,Yes,Morning Classes,Gary,IN,Rural,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,No evidence of,Black,Former Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of
44,9,2006,80,1,0,Friday,Yes,Morning Classes,Cazenovia,WI,Rural,High,Entryway,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,Yes,White,Student,Fled & Later Apprehended,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
88,8,2013,354,1,2,Friday,No,Evening,Sardis,MS,Rural,High,Football Field/Track,Outside on School Property,Yes,No evidence of,Unknown,Unknown,Retaliation,No,Yes,No evidence of,No evidence of,Black,Other,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
265,9,2023,487,1,2,Tuesday,No,Dismissal,Greensburg,LA,Rural,High,Parking Lot,Outside on School Property,Yes,No evidence of,Unknown,No evidence of,Retaliation,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes
70,8,2010,850,1,0,Monday,Yes,Morning Classes,Blountville,TN,Rural,High,Hallway,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Unknown,None,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
221,4,2022,108,1,0,Thursday,Yes,Afternoon Classes,Mott,ND,Rural,High,Entryway,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Unknown,None,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
28,3,2005,278,9,9,Monday,Yes,Afternoon Classes,Red Lake,MN,Rural,High,Hallway,Inside School Building,Yes,Yes,Yes,Yes,Mental Health,No,No evidence of,Yes,Yes,Native American,Student,Suicide,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,Yes,Yes,Yes,No evidence of,Yes,Yes,No evidence of,Yes,Yes,Yes,Yes
64,6,2009,247,1,0,Wednesday,Yes,Morning Classes,Parkersburg,IA,Rural,High,Gym,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Mental Health,No,No evidence of,No evidence of,Yes,White,Former Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
43,9,2006,467,1,0,Wednesday,Yes,Morning Classes,Bailey,CO,Rural,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Sexual Assault,No,No evidence of,No evidence of,No evidence of,White,None,Suicide,No evidence of,No evidence of,Yes,Yes,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,N/A,No evidence of,No evidence of,No evidence of,Yes,No evidence of
16,11,2003,2356,1,0,Saturday,No,Sport Event,Sugarland,TX,Rural,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N10,2,2003,394,1,0,Monday,No,Dismissal,Camden,AL,Rural,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
33,11,2005,1402,1,2,Tuesday,Yes,Afternoon Classes,Jacksboro,TN,Rural,High,Hallway,Inside School Building,No evidence of,Yes,No evidence of,Yes,Escalation of a Dispute,No,No evidence of,Yes,No evidence of,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N64,9,2021,2545,1,0,Friday,No,Sport Event,Lagrangeville,NY,Rural,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Former Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N8,11,2002,2770,1,0,Tuesday,Yes,Morning Classes,Hoover,AL,Rural,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N11,3,2003,410,1,0,Wednesday,Yes,Morning Classes,Livingston,AL,Rural,High,Cafeteria,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N26,9,2005,1784,1,0,Friday,No,Sport Event,Colesville,MD,Rural,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
38,6,2006,771,1,0,Tuesday,No,School Event,Gary,IN,Rural,High,Auditorium,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Family Member,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
63,1,2009,841,1,0,Friday,No,Sport Event,Cahokia,IL,Rural,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
98,10,2014,1964,1,0,Friday,No,Sport Event,Fairburn,GA,Rural,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
166,3,2020,3854,1,0,Sunday,No,Not a School Day,Humble,TX,Rural,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Former Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,Yes,No evidence of,No evidence of,Yes,No evidence of
172,9,2020,923,1,0,Wednesday,No,Night,Sonora,CA,Rural,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,Yes,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
206,11,2021,430,2,1,Tuesday,No,Sport Event,Humboldt,TN,Rural,High,Gym,Inside School Building,No evidence of,No evidence of,Unknown,Unknown,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
272,10,2023,59,1,1,Sunday,No,Night,Denton,TX,Rural,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
65,9,2009,832,2,0,Friday,Yes,Afternoon Classes,Owosso,MI,Suburban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Other,Yes,No evidence of,No evidence of,Yes,White,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,N/A,No evidence of,No evidence of,Yes,No evidence of,No evidence of
175,10,2020,1435,1,0,Monday,No,Evening,Riverdale,GA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Black,None,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
131,8,2018,1403,1,0,Friday,No,Not a School Day,Edgewood,MD,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
190,4,2021,2677,1,0,Tuesday,No,Night,Harker Heights,TX,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
222,4,2022,1628,1,0,Sunday,No,Not a School Day,Florissant,MO,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
269,10,2023,1510.5,1,0,Tuesday,Yes,Afternoon Classes,Darlington,SC,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Black,Unknown,Escaped,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
96,6,2014,2599,1,1,Tuesday,Yes,Morning Classes,Troutdale,OR,Suburban,High,Gym,Inside School Building,Yes,No evidence of,No evidence of,Yes,Unknown,No,No evidence of,Yes,Yes,White,Student,Suicide,No evidence of,Yes,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes
156,11,2019,689,2,3,Thursday,Yes,Morning Classes,Santa Clarita,CA,Suburban,High,Courtyard,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Unknown,No,No evidence of,Yes,Yes,Asian,Student,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N37,9,2009,2136,1,0,Wednesday,Yes,Morning Classes,Tyler,TX,Suburban,High,Classroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
167,5,2020,1945,3,0,Tuesday,No,Night,Visalia,CA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Yes,No evidence of,Unknown,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
212,1,2022,1417,1,0,Saturday,No,Sport Event,Beloit,WI,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N68,5,2022,2553,1,0,Tuesday,Yes,Morning Classes,Belton,TX,Suburban,High,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,Yes,White,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
